44,2022-04-21 11:59:32
50,2022-04-21 11:59:33
50,2022-04-21 11:59:33
157,2022-04-21 11:59:34
157,2022-04-21 11:59:34
149,2022-04-21 11:59:35
149,2022-04-21 11:59:35
19,2022-04-21 11:59:36
19,2022-04-21 11:59:36
128,2022-04-21 11:59:37
128,2022-04-21 11:59:37
155,2022-04-21 11:59:38
155,2022-04-21 11:59:38
78,2022-04-21 11:59:39
78,2022-04-21 11:59:39
119,2022-04-21 11:59:40
119,2022-04-21 11:59:40
60,2022-04-21 11:59:41
60,2022-04-21 11:59:41
76,2022-04-21 11:59:42
76,2022-04-21 11:59:42
72,2022-04-21 11:59:43
72,2022-04-21 11:59:43
132,2022-04-21 11:59:44
132,2022-04-21 11:59:45
85,2022-04-21 11:59:45
85,2022-04-21 11:59:46
44,2022-04-21 11:59:46
44,2022-04-21 11:59:47
70,2022-04-21 11:59:47
70,2022-04-21 11:59:48
91,2022-04-21 11:59:48
91,2022-04-21 11:59:49
63,2022-04-21 11:59:50
19,2022-04-21 11:59:51
31,2022-04-21 11:59:51
31,2022-04-21 11:59:52
108,2022-04-21 11:59:52
108,2022-04-21 11:59:53
51,2022-04-21 11:59:53
51,2022-04-21 11:59:54
47,2022-04-21 11:59:54
47,2022-04-21 11:59:55
54,2022-04-21 11:59:55
54,2022-04-21 11:59:56
32,2022-04-21 11:59:56
32,2022-04-21 11:59:57
124,2022-04-21 11:59:57
124,2022-04-21 11:59:58
90,2022-04-21 11:59:58
90,2022-04-21 11:59:59
23,2022-04-21 11:59:59
23,2022-04-21 12:00:00
44,2022-04-21 12:00:00
44,2022-04-21 12:00:01
154,2022-04-21 12:00:01
154,2022-04-21 12:00:02
20,2022-04-21 12:00:02
20,2022-04-21 12:00:03
141,2022-04-21 12:00:03
141,2022-04-21 12:00:04
43,2022-04-21 12:00:04
43,2022-04-21 12:00:05
42,2022-04-21 12:00:05
42,2022-04-21 12:00:06
79,2022-04-21 12:00:06
79,2022-04-21 12:00:07
138,2022-04-21 12:00:07
138,2022-04-21 12:00:08
17,2022-04-21 12:00:08
17,2022-04-21 12:00:09
8,2022-04-21 12:00:09
8,2022-04-21 12:00:10
43,2022-04-21 12:00:10
43,2022-04-21 12:00:11
143,2022-04-21 12:00:11
143,2022-04-21 12:00:12
106,2022-04-21 12:00:12
106,2022-04-21 12:00:13
8,2022-04-21 12:00:13
8,2022-04-21 12:00:14
77,2022-04-21 12:00:14
77,2022-04-21 12:00:15
129,2022-04-21 12:00:15
129,2022-04-21 12:00:16
117,2022-04-21 12:00:16
117,2022-04-21 12:00:17
99,2022-04-21 12:00:17
99,2022-04-21 12:00:18
